pelv_smpl_x,pelv_smpl_y,pelv_smpl_z,lhip_smpl_x,lhip_smpl_y,lhip_smpl_z,rhip_smpl_x,rhip_smpl_y,rhip_smpl_z,bell_smpl_x,bell_smpl_y,bell_smpl_z,lkne_smpl_x,lkne_smpl_y,lkne_smpl_z,rkne_smpl_x,rkne_smpl_y,rkne_smpl_z,spin_smpl_x,spin_smpl_y,spin_smpl_z,lank_smpl_x,lank_smpl_y,lank_smpl_z,rank_smpl_x,rank_smpl_y,rank_smpl_z,thor_smpl_x,thor_smpl_y,thor_smpl_z,ltoe_smpl_x,ltoe_smpl_y,ltoe_smpl_z,rtoe_smpl_x,rtoe_smpl_y,rtoe_smpl_z,neck_smpl_x,neck_smpl_y,neck_smpl_z,lcla_smpl_x,lcla_smpl_y,lcla_smpl_z,rcla_smpl_x,rcla_smpl_y,rcla_smpl_z,head_smpl_x,head_smpl_y,head_smpl_z,lsho_smpl_x,lsho_smpl_y,lsho_smpl_z,rsho_smpl_x,rsho_smpl_y,rsho_smpl_z,lelb_smpl_x,lelb_smpl_y,lelb_smpl_z,relb_smpl_x,relb_smpl_y,relb_smpl_z,lwri_smpl_x,lwri_smpl_y,lwri_smpl_z,rwri_smpl_x,rwri_smpl_y,rwri_smpl_z,lhan_smpl_x,lhan_smpl_y,lhan_smpl_z,rhan_smpl_x,rhan_smpl_y,rhan_smpl_z,nose_coco_x,nose_coco_y,nose_coco_z,leye_coco_x,leye_coco_y,leye_coco_z,lear_coco_x,lear_coco_y,lear_coco_z,reye_coco_x,reye_coco_y,reye_coco_z,rear_coco_x,rear_coco_y,rear_coco_z,htop_mpi_inf_3dhp_x,htop_mpi_inf_3dhp_y,htop_mpi_inf_3dhp_z
53.841663,-111.91814,5826.7334,103.986206,-21.129763,5868.0625,-2.5803466,-16.806484,5819.9546,43.965485,-233.7562,5838.6963,206.2469,337.90338,5869.4697,-134.1618,339.46957,5835.1826,52.79122,-380.73322,5799.6665,171.7939,729.34845,5952.8955,-219.68198,698.526,5980.225,53.80787,-435.53207,5775.8057,258.10333,800.0697,5880.6943,-265.61774,782.809,5879.0557,17.46424,-657.96014,5758.478,99.95322,-575.20667,5800.012,-34.023285,-544.83044,5745.9,11.249001,-723.8737,5698.293,202.55576,-621.6021,5794.106,-110.11865,-545.4417,5673.7314,305.1839,-472.60117,5634.2266,-50.89068,-370.57812,5497.6787,353.0089,-449.84564,5382.4453,-53.903126,-378.09174,5250.88,379.4904,-432.89072,5298.503,-63.430458,-364.37997,5145.4053,8.55517,-745.96375,5601.893,32.656456,-786.5736,5613.469,75.786354,-805.236,5695.904,-29.3707,-775.18964,5607.871,-78.594444,-777.50433,5680.4043,-28.692785,-916.60175,5665.05
59.65805,-117.05199,5796.419,108.46531,-24.897696,5839.001,1.6621888,-22.750315,5780.6875,46.732555,-237.89188,5811.902,200.38235,335.45917,5837.2446,-130.96509,333.58298,5790.13,54.377525,-384.78882,5784.4077,164.82703,721.25684,5909.5664,-228.63164,686.4313,5933.1187,56.980755,-441.26846,5766.3076,253.45732,790.1477,5841.412,-268.11444,774.4486,5834.259,22.630474,-663.3226,5769.915,99.978516,-576.88586,5809.349,-25.897686,-552.4703,5739.897,21.938328,-732.71515,5714.234,202.24362,-622.8892,5819.3413,-93.78783,-562.29065,5661.6626,324.08264,-480.67715,5667.839,23.614635,-408.92035,5485.3022,419.4013,-459.40942,5432.3813,124.84348,-489.65878,5290.093,457.95947,-439.18506,5358.218,144.2526,-499.64423,5195.242,27.656332,-760.80054,5623.778,51.87082,-798.98834,5640.7085,88.12236,-810.84033,5723.5586,-10.731778,-788.90393,5626.9062,-67.36126,-786.6409,5692.164,-13.570943,-928.50214,5689.483
59.655388,-125.712364,5695.5615,104.62799,-34.591824,5745.009,2.8167634,-30.450653,5674.832,44.46825,-242.28609,5707.5977,189.91666,327.3267,5762.505,-126.95467,323.1019,5673.202,52.292316,-387.16937,5685.442,154.77722,708.2546,5846.7915,-240.91904,670.05115,5821.7095,58.669167,-443.1127,5667.837,240.82028,774.8159,5777.619,-273.4025,757.01697,5722.133,19.546875,-662.8446,5670.2363,89.31131,-574.8436,5725.187,-21.102274,-555.3695,5628.0405,27.965586,-729.86536,5615.574,182.9497,-615.05707,5768.754,-70.61166,-570.3365,5541.69,329.1911,-476.21747,5703.0166,79.501724,-452.83072,5361.138,454.00977,-446.96622,5455.914,260.19318,-523.233,5242.9463,502.27768,-422.32428,5391.3115,315.91766,-533.43353,5189.4077,43.6839,-757.35333,5522.445,65.3055,-796.4,5540.034,91.90196,-808.8661,5628.552,5.1914396,-785.32544,5523.53,-58.464344,-782.8885,5586.1655,-6.8970323,-924.3859,5587.01
59.421154,-137.21365,5632.889,101.43095,-45.686733,5686.5454,4.9502287,-40.190147,5605.238,43.096264,-251.38037,5642.561,182.52544,315.17514,5701.781,-121.23836,311.33334,5585.386,50.27026,-392.96112,5625.858,148.40402,695.5563,5776.7563,-250.53125,654.72284,5729.715,61.938427,-448.20966,5609.107,231.17654,759.63477,5703.606,-276.58142,740.3151,5628.435,15.800174,-665.05676,5613.571,77.0864,-577.12164,5676.739,-14.380478,-560.74725,5560.117,32.363728,-728.46387,5562.264,160.04314,-613.688,5741.443,-39.901234,-581.8541,5470.913,324.41476,-467.55078,5762.201,145.81256,-499.52914,5297.296,483.96964,-437.87616,5565.1733,377.2352,-566.1027,5259.315,534.9671,-412.44354,5507.857,446.0832,-572.86383,5240.0483,59.03971,-755.7377,5471.3813,79.29237,-793.51624,5492.53,95.73652,-804.58264,5581.92,20.833218,-784.4231,5469.1406,-49.2164,-783.26013,5525.3833,2.932483,-925.63916,5541.17
58.415882,-138.9067,5657.4873,97.64601,-47.42967,5711.5244,5.4394655,-42.618164,5626.7925,40.405407,-253.76746,5667.3916,178.35107,314.77133,5733.6904,-121.8953,310.1959,5593.0386,50.5798,-396.3801,5652.146,142.50404,695.9944,5805.394,-260.81732,648.3271,5742.2974,62.35901,-450.93448,5637.7627,227.53406,757.22723,5733.199,-286.63275,737.7223,5645.108,19.393885,-670.484,5644.4897,73.533005,-575.06903,5708.6025,-5.9724245,-568.9065,5586.46,39.141613,-736.2451,5597.172,158.67133,-602.70026,5774.954,-16.73025,-600.9404,5498.49,320.7678,-447.208,5760.8193,210.93425,-539.2757,5367.9604,501.4554,-420.58945,5569.665,452.74884,-584.11523,5383.9243,559.83575,-399.4687,5521.83,526.49066,-584.00726,5390.532,74.826614,-766.5343,5508.9707,93.91008,-804.96136,5533.087,102.33411,-812.5392,5622.474,36.48459,-796.7344,5505.2617,-38.969337,-794.7826,5556.399,14.68364,-936.83563,5582.3174
59.60908,-135.55984,5753.4883,93.21217,-44.294437,5807.754,7.5676756,-41.62902,5719.4136,38.140934,-254.58394,5764.2046,177.91206,320.31644,5841.8076,-124.20125,313.9415,5681.534,56.865124,-399.23926,5749.657,140.74324,707.05255,5908.5244,-273.73788,654.6277,5828.1724,65.321625,-455.92075,5737.8057,228.99902,768.4362,5840.766,-297.73105,744.3602,5729.2046,25.088816,-680.86755,5745.4937,72.19598,-576.9988,5814.581,7.282672,-579.46,5679.8447,52.042187,-752.01636,5702.013,151.62645,-595.7868,5895.69,13.555786,-622.2286,5585.7046,304.96887,-420.89093,5891.748,262.2204,-578.0745,5482.116,518.84357,-415.91974,5744.5527,498.78458,-594.2324,5589.478,589.02295,-405.2814,5717.5874,570.71234,-591.5051,5621.8945,97.51579,-787.74493,5615.789,115.8735,-826.744,5645.2373,117.0999,-829.0571,5735.7437,57.905617,-819.38,5610.7954,-25.07462,-814.6559,5656.3965,32.367138,-955.94403,5691.332
1353.8195,-572.1483,8207.322,1392.9365,-487.95126,8205.432,1322.794,-493.16757,8242.286,1358.4226,-666.87317,8209.229,1401.2744,-171.27608,8242.028,1272.3712,-180.47083,8301.424,1353.7566,-788.5194,8189.5654,1393.7931,168.32626,8330.2,1312.5953,161.87479,8366.166,1347.5532,-836.7583,8175.486,1396.3031,217.20366,8286.732,1280.5471,199.58745,8333.635,1354.175,-1038.8676,8158.818,1392.2375,-943.88055,8152.218,1316.1707,-951.258,8193.158,1339.9316,-1095.9971,8123.792,1438.8667,-943.18195,8129.493,1262.6628,-966.05896,8228.489,1465.1041,-743.1868,8128.8687,1212.1674,-780.6389,8270.497,1445.4586,-589.5724,8090.1655,1198.9651,-652.86316,8231.889,1442.8215,-545.97003,8081.759,1193.7136,-626.41943,8230.747,1312.6116,-1119.0267,8063.9595,1330.6781,-1148.4459,8054.59,1372.633,-1147.5547,8081.7,1300.3284,-1152.9875,8073.095,1299.8021,-1157.8464,8123.9805,1342.7689,-1264.7217,8112.867
56.47462,-133.62952,5780.513,86.40325,-41.546906,5837.38,7.3193054,-39.892822,5743.4746,32.65458,-253.37576,5788.8037,177.47794,322.31512,5870.9116,-120.935684,314.10922,5705.242,54.396217,-398.85458,5777.2236,135.61644,708.7166,5947.925,-285.34863,650.69586,5854.9126,64.28567,-457.73663,5767.442,227.96306,771.902,5882.473,-305.51505,745.24426,5758.1406,29.924128,-684.3109,5774.643,64.99718,-577.09314,5846.4297,18.864542,-584.59045,5704.461,62.937492,-758.90125,5737.245,132.04529,-587.2516,5938.603,44.501392,-631.92267,5612.0786,277.44424,-394.85034,5958.9214,306.16156,-599.0713,5545.9316,519.9075,-414.79913,5871.263,491.98224,-611.76355,5739.835,598.9873,-418.00116,5867.8623,547.50446,-614.244,5798.008,119.86765,-799.6232,5657.685,134.45279,-837.96906,5690.795,119.68376,-836.1525,5780.943,80.007126,-832.11755,5646.9155,-9.747995,-825.01984,5682.7954,44.317665,-969.2946,5729.9233
57.541405,-135.46397,5766.9023,85.470276,-43.67689,5824.4907,10.747309,-41.69921,5726.9287,32.90513,-253.96574,5773.607,179.93881,318.2496,5855.927,-112.2641,312.34073,5673.2095,54.72869,-400.52866,5766.024,131.49963,703.9617,5937.8735,-295.29144,643.9137,5822.3936,66.948845,-460.38177,5759.133,223.60966,766.4811,5874.0503,-308.29776,740.75104,5730.1704,35.538094,-685.7111,5766.195,61.009254,-575.89197,5838.132,31.101038,-588.5614,5693.686,73.59577,-761.8674,5733.04,111.1592,-578.7494,5935.3853,72.38647,-640.9021,5607.3535,234.34439,-371.35803,5955.0845,335.22507,-607.235,5609.8613,491.13516,-416.78506,5932.6104,448.9659,-626.45325,5869.161,573.38464,-431.5673,5950.3296,486.70532,-631.55396,5941.388,138.37613,-800.6204,5657.879,149.77281,-838.31775,5691.7104,123.134445,-837.39435,5779.953,99.94794,-831.31006,5642.2197,5.287038,-825.42737,5669.2695,54.635914,-970.36096,5722.1807
60.882954,-137.41353,5750.662,87.912895,-46.051083,5809.361,16.291979,-43.889565,5709.165,35.59767,-255.5192,5755.8076,177.78331,314.57962,5841.908,-102.39911,308.1283,5650.2764,58.858074,-402.546,5751.5903,126.23704,698.344,5919.827,-297.911,630.9782,5808.4243,71.795044,-462.26602,5746.3125,219.154,759.65155,5854.8877,-307.89288,730.61536,5723.657,42.782722,-685.9315,5755.1675,59.182384,-575.9813,5826.3906,44.171734,-591.4904,5680.8677,83.904274,-762.4251,5724.741,95.26712,-574.84753,5928.9595,96.826126,-647.4668,5599.8657,201.7741,-353.69223,5953.1694,353.97812,-613.901,5632.463,444.17276,-417.6852,5932.4346,425.17084,-629.95667,5901.241,522.20886,-438.5442,5955.4893,447.07526,-634.2157,5975.083,148.98502,-802.0319,5652.734,158.3323,-840.4956,5687.7217,129.4775,-837.2042,5774.2603,111.1027,-832.24414,5634.7085,16.402946,-823.21484,5657.9478,61.94109,-970.61346,5708.951
